,Year,Crop Type,Yield (kg/ha),Avg Temp (°C),Total Rainfall (mm),Avg Sunlight (hours/day),Soil pH,Soil Moisture (%),Fertilizer Used (kg/ha),Pesticide Used (L/ha),Region
74,2024,Rice,7622,24.4,290,7.5,6.2,27.4,134,4.6,South
75,2020,Rice,7842,18.3,311,8.8,6.3,36.1,131,4.8,West
76,2023,Corn,7011,28.4,351,8.4,6.6,34.6,121,5.5,West
77,2018,Wheat,6590,18.8,405,10.0,6.3,35.3,114,5.3,West
78,2021,Rice,5038,24.6,292,6.8,6.5,25.5,101,4.6,North
79,2019,Rice,5067,17.4,401,8.1,6.4,32.0,101,5.2,North
80,2021,Rice,4620,21.0,377,7.5,6.5,27.1,110,5.7,West
81,2019,Corn,7172,18.9,376,7.8,5.9,42.3,121,6.3,North
82,2023,Rice,4815,29.7,335,10.3,6.8,33.5,97,5.1,West
83,2023,Corn,7569,17.2,403,6.5,5.9,41.6,115,6.5,West
84,2023,Corn,5638,21.6,325,11.3,6.4,28.6,152,6.6,North
85,2019,Wheat,5120,20.9,396,9.8,5.8,42.2,127,5.1,North
86,2021,Wheat,4953,25.5,384,8.5,6.3,26.9,124,5.5,South
87,2023,Corn,7234,17.7,376,8.9,5.9,27.2,114,6.9,North
88,2022,Wheat,7171,27.5,334,10.2,5.9,44.7,113,6.0,South
89,2024,Wheat,5111,23.1,333,10.4,6.1,24.6,149,5.6,South
90,2019,Rice,6043,22.9,404,10.8,6.0,24.7,96,6.2,North
91,2019,Wheat,5458,19.9,344,7.6,5.9,26.2,140,5.5,West
92,2021,Corn,6508,23.4,330,11.1,6.4,28.0,159,7.0,North
93,2019,Wheat,5146,21.7,407,11.0,6.7,25.4,101,4.6,South
94,2019,Rice,5262,20.2,370,11.1,6.7,44.0,127,4.8,North
95,2023,Corn,5860,19.2,311,6.5,6.1,30.3,103,6.4,South
96,2021,Wheat,4739,26.5,382,6.9,6.7,44.3,156,6.5,North
97,2023,Corn,7281,18.8,336,9.7,6.8,42.4,115,5.8,West
98,2024,Wheat,5909,19.2,308,11.7,6.1,40.1,150,5.2,West
99,2024,Rice,5668,24.5,366,6.7,6.7,24.6,124,6.3,South
100,2023,Wheat,6924,19.9,401,10.4,6.2,39.3,113,5.0,West
101,2024,Corn,6551,23.0,358,6.8,6.3,31.9,129,5.1,West
102,2021,Corn,7341,24.2,386,11.7,6.3,42.4,123,6.5,South
103,2018,Corn,7393,20.6,331,10.8,6.5,35.6,128,6.2,South
104,2023,Wheat,7899,21.5,368,7.7,6.1,28.9,123,5.9,North
105,2022,Wheat,4696,19.7,310,6.3,6.0,36.7,152,4.9,West
106,2022,Wheat,6936,23.0,363,8.6,6.4,35.1,110,6.6,North
107,2019,Rice,8211,29.9,318,9.2,6.4,38.5,100,4.7,North
108,2024,Rice,4760,21.7,335,9.2,5.9,29.3,134,6.1,West
109,2022,Rice,7150,25.5,326,11.1,6.7,44.8,147,6.4,South
110,2019,Corn,8408,25.3,285,11.9,6.1,38.1,95,5.2,South
111,2018,Corn,6294,27.2,388,8.6,6.6,32.1,157,6.4,South
112,2021,Corn,6457,26.3,314,7.0,6.4,36.4,150,4.6,West
113,2021,Corn,4593,17.2,350,8.3,6.4,32.6,100,6.8,West
114,2021,Corn,5780,21.0,316,10.3,6.7,42.2,148,5.5,North
115,2022,Wheat,4635,28.3,402,9.5,6.7,43.8,129,6.6,West
116,2018,Corn,7072,24.0,288,6.5,6.4,43.1,111,5.3,West
117,2022,Wheat,6503,18.4,354,7.3,6.2,33.0,114,6.3,South
118,2024,Rice,8281,20.6,339,10.2,6.4,28.6,153,5.9,South
119,2022,Rice,7045,20.7,330,10.2,5.9,36.7,113,5.6,North
120,2018,Rice,5701,28.4,325,9.7,6.2,35.8,107,7.0,North
121,2018,Rice,6659,24.2,350,7.8,6.5,25.3,108,6.5,South
122,2024,Rice,5787,24.9,343,7.0,6.6,41.9,124,4.8,North
123,2018,Corn,7985,21.8,394,7.4,6.5,24.8,100,6.9,West
124,2018,Corn,4868,17.8,300,10.8,6.0,24.7,137,5.7,North
125,2021,Corn,5435,18.0,284,8.9,6.4,39.4,98,6.1,West
126,2024,Rice,8162,22.5,285,8.1,5.9,43.8,112,4.8,North
127,2020,Rice,7949,19.3,322,6.8,6.4,38.7,112,7.0,West
128,2020,Wheat,5267,18.4,305,8.4,6.5,40.4,100,5.7,West
129,2018,Corn,7133,20.4,372,8.5,6.4,43.3,115,5.7,North
130,2020,Rice,7954,26.6,333,11.3,6.4,30.8,115,5.2,West
131,2020,Rice,5172,17.9,407,11.6,6.5,36.9,106,5.5,South
132,2018,Rice,5010,22.8,304,11.0,6.2,31.5,134,6.4,North
133,2020,Wheat,5212,27.7,344,8.3,6.2,40.5,112,4.7,South
134,2022,Rice,8452,20.5,283,9.4,6.2,40.7,159,5.2,South
135,2019,Wheat,5319,20.9,406,11.0,6.0,34.2,119,5.4,North
136,2024,Wheat,6924,28.5,388,6.3,6.3,40.1,114,5.1,North
137,2019,Corn,5044,25.5,295,9.2,6.7,32.2,97,5.0,South
138,2018,Rice,6620,27.4,381,8.4,6.1,38.3,137,7.0,West
139,2021,Wheat,7521,20.8,392,8.3,6.2,30.6,157,6.5,West
140,2024,Rice,5003,30.0,353,8.1,6.4,26.6,152,5.0,West
141,2018,Corn,7923,18.8,332,9.8,6.6,41.3,143,6.7,North
142,2021,Corn,5304,29.5,397,8.5,5.8,24.7,137,5.5,West
143,2019,Wheat,5209,28.7,342,7.9,6.5,34.1,95,4.7,West
144,2018,Corn,6872,24.2,324,9.4,5.9,44.1,107,6.0,North
145,2024,Corn,4887,24.6,341,8.2,6.5,24.0,110,5.8,West
146,2024,Corn,7375,27.1,360,6.2,5.9,43.6,156,5.6,West
147,2023,Rice,4739,21.0,352,8.5,6.6,25.9,144,5.0,North
148,2022,Rice,7523,23.9,295,7.2,6.7,36.0,152,6.4,West
149,2020,Wheat,5597,28.7,376,6.6,6.0,33.2,155,5.8,West
150,2021,Wheat,6578,17.9,383,11.2,5.8,28.1,102,6.6,North
151,2023,Corn,7026,28.8,343,10.2,5.9,38.9,110,5.0,South
152,2020,Corn,7585,26.5,349,8.3,6.7,30.2,155,6.9,South
153,2020,Wheat,7264,27.0,409,11.9,6.3,39.7,110,6.2,South
154,2018,Corn,5839,17.8,360,8.2,6.3,32.3,131,5.7,West
155,2020,Wheat,4567,19.4,374,7.5,6.0,24.9,147,6.4,West
156,2022,Rice,8211,29.0,402,8.8,6.8,33.1,152,6.0,North
157,2024,Corn,7553,18.6,317,11.7,6.0,37.7,119,5.6,North
158,2023,Corn,7085,25.2,321,10.0,6.4,26.6,95,6.4,West
159,2020,Corn,6443,27.2,388,10.4,6.4,41.3,126,5.3,West
160,2018,Rice,6219,20.0,360,7.0,5.9,36.7,139,4.6,West
161,2022,Rice,6172,26.1,286,6.2,6.8,43.0,144,6.5,West
162,2019,Corn,4790,17.9,335,9.2,6.4,43.3,107,5.2,West
163,2024,Wheat,8189,23.5,340,8.0,6.0,44.3,118,6.0,North
164,2024,Rice,5474,21.3,344,6.3,6.6,33.1,124,6.7,West
165,2023,Corn,6571,25.4,372,11.4,6.2,31.0,137,5.1,North
166,2024,Corn,4914,28.6,364,6.2,6.5,41.8,156,6.7,South
167,2020,Rice,5350,18.6,304,6.1,6.0,38.0,149,4.9,West
168,2018,Wheat,7509,22.9,285,7.8,6.7,31.6,115,5.1,South
169,2024,Corn,8277,22.5,287,9.0,5.8,42.8,138,5.9,North
170,2024,Wheat,7228,21.2,332,8.7,5.8,29.4,117,5.8,West
171,2019,Wheat,7607,23.2,298,8.2,6.7,43.1,108,6.7,South
172,2019,Rice,6648,28.4,288,11.2,6.3,40.8,150,5.1,North
173,2021,Corn,5045,29.7,287,7.8,6.1,32.7,127,6.9,North
174,2022,Corn,8460,17.0,317,9.9,5.9,31.5,153,6.0,North
175,2020,Wheat,6586,26.6,302,8.4,5.9,42.5,97,6.1,West
176,2024,Rice,6758,25.0,366,8.3,6.1,34.2,102,4.5,West
177,2024,Rice,5241,29.9,408,11.6,6.6,40.1,144,7.0,North
178,2018,Rice,6314,18.2,286,10.2,6.0,37.5,153,5.4,North
179,2021,Wheat,5091,27.5,386,9.2,6.8,27.7,129,5.7,South
180,2022,Wheat,5249,29.1,391,7.0,6.6,42.9,104,4.6,South
181,2021,Corn,6719,28.9,303,6.8,5.8,37.0,112,5.7,South
182,2023,Rice,5337,24.3,409,7.2,6.3,30.8,100,4.7,West
183,2022,Wheat,6989,21.3,362,9.8,6.2,31.6,152,6.9,South
184,2024,Rice,7630,25.3,385,6.3,6.2,29.0,150,6.6,West
185,2024,Wheat,7981,21.0,379,8.8,6.2,36.4,149,6.3,North
186,2022,Corn,5033,22.4,335,8.8,6.7,27.9,133,5.8,West
187,2024,Rice,4864,22.8,371,11.5,6.5,31.6,125,6.5,South
188,2020,Wheat,4866,20.9,311,8.2,6.1,43.7,143,4.9,West
189,2022,Rice,7915,21.4,356,11.4,6.3,24.9,132,4.8,West
190,2021,Wheat,6273,17.1,349,9.7,6.3,39.1,140,4.5,North
191,2022,Wheat,6843,20.9,372,8.3,6.1,26.8,148,5.8,North
192,2024,Wheat,7912,23.1,289,9.2,6.4,31.6,127,6.2,West
193,2020,Rice,7153,19.2,402,6.6,6.4,36.0,145,5.3,South
194,2020,Wheat,7303,27.5,353,11.3,5.9,44.6,101,4.6,West
195,2023,Corn,7070,24.0,313,9.8,5.9,30.7,154,4.7,South
196,2021,Rice,6152,27.3,363,8.6,5.8,28.0,154,4.9,North
197,2019,Corn,4764,18.7,390,10.7,6.4,37.1,109,5.6,North
198,2019,Corn,8095,27.7,312,8.4,6.8,34.0,120,5.6,North
199,2022,Rice,8237,29.5,367,8.8,6.7,29.5,152,4.8,North
200,2023,Wheat,5561,21.6,376,8.5,6.3,39.4,113,6.5,North
201,2018,Corn,6534,20.7,336,12.0,6.1,40.3,147,6.1,West
202,2022,Rice,7702,25.4,311,10.6,6.5,39.4,132,5.7,North
203,2023,Wheat,4881,25.3,404,11.6,6.1,41.5,148,6.3,North
204,2021,Rice,7796,18.5,387,8.3,5.8,38.3,112,6.9,South
205,2021,Rice,5666,29.0,281,8.9,6.3,38.4,95,4.6,South
206,2021,Rice,6978,23.2,338,7.2,6.1,33.3,114,7.0,West
207,2021,Wheat,4888,26.9,312,6.1,5.8,36.2,125,7.0,West
208,2021,Corn,6601,21.7,375,7.2,6.6,38.3,112,4.8,West
209,2023,Corn,6571,20.4,384,11.6,6.4,34.9,111,6.7,West
210,2023,Rice,4894,18.4,293,8.7,6.1,38.4,126,6.3,South
211,2020,Rice,7180,20.6,338,6.8,6.2,42.5,157,5.0,South
212,2019,Wheat,6666,29.9,294,8.7,5.9,33.0,150,6.5,South
213,2024,Rice,8244,25.6,308,10.8,5.9,33.3,136,4.8,South
214,2021,Rice,5482,27.4,391,9.0,6.2,40.3,157,4.9,South
215,2018,Rice,8157,29.5,388,11.6,6.0,30.6,153,4.9,West
216,2024,Corn,7756,18.0,402,11.4,6.0,25.6,110,6.3,North
217,2023,Rice,6739,19.1,326,8.8,6.2,32.0,101,4.5,South
218,2018,Corn,6462,29.1,337,6.5,6.3,34.8,151,5.8,North
219,2018,Wheat,8303,24.3,372,10.2,6.4,29.9,114,5.6,North
220,2018,Wheat,7034,25.3,364,8.1,6.3,38.2,152,4.9,West
221,2020,Corn,7180,22.6,332,10.7,5.9,35.3,102,4.7,South
222,2023,Corn,5220,27.6,365,7.9,5.9,30.3,143,5.4,South
223,2018,Corn,6931,23.7,343,8.0,6.0,27.6,141,5.3,South
224,2021,Corn,7359,27.7,361,9.3,6.7,39.4,153,6.9,South
225,2022,Rice,6893,29.9,281,6.1,5.9,24.0,109,5.0,South
226,2018,Corn,4972,25.4,339,7.0,6.5,31.7,105,5.7,North
227,2020,Corn,7223,23.9,363,11.1,6.6,30.6,118,5.7,West
228,2024,Corn,6303,21.7,327,11.7,5.9,26.6,122,5.7,South
229,2023,Rice,6475,19.5,397,7.2,6.4,44.2,117,6.9,West
230,2020,Rice,6550,25.5,305,10.6,6.6,30.9,96,5.4,South
231,2018,Rice,7621,17.8,363,6.7,6.6,41.9,108,4.7,North
232,2023,Wheat,5424,29.4,299,8.8,5.8,33.7,118,4.7,North
233,2022,Rice,5375,25.4,372,9.1,6.3,36.2,102,6.6,South
234,2018,Corn,8075,29.5,327,9.4,6.0,36.5,147,5.9,North
235,2020,Rice,7531,20.5,400,8.2,6.7,35.7,153,5.0,North
236,2019,Rice,7782,29.3,374,11.1,6.3,43.7,95,6.6,North
237,2021,Corn,5472,25.0,340,7.8,6.2,36.2,117,6.4,South
238,2024,Rice,8099,27.5,340,8.9,6.0,44.8,114,5.4,South
239,2020,Wheat,8251,19.3,359,7.2,6.0,31.3,111,5.8,North
240,2023,Rice,7854,23.5,298,9.4,6.8,37.0,133,6.1,West
241,2018,Wheat,4878,24.4,292,7.2,5.9,43.8,123,5.1,South
242,2021,Wheat,7897,22.1,409,7.4,5.8,38.1,145,6.1,West
243,2018,Wheat,5821,20.3,354,8.6,6.1,29.3,153,6.0,North
244,2023,Corn,8268,28.8,280,7.7,6.2,41.6,112,5.4,West
245,2018,Rice,6685,18.1,282,6.2,6.2,35.0,157,6.0,West
246,2019,Wheat,4624,19.0,287,10.8,6.0,39.3,154,5.2,South
247,2021,Wheat,7481,21.2,359,10.9,6.7,24.6,141,5.9,North
248,2021,Rice,7963,29.0,386,11.4,6.7,32.4,95,5.9,North
249,2023,Corn,5925,24.3,319,11.9,6.3,37.4,98,7.0,West
250,2024,Corn,4979,21.9,398,6.7,6.6,38.2,140,4.8,West
251,2019,Wheat,7972,22.2,287,7.6,6.0,35.3,131,4.7,West
252,2020,Corn,7117,27.9,353,9.8,6.7,24.9,157,5.2,North
253,2018,Rice,5885,17.3,306,11.3,6.2,40.8,96,5.3,South
254,2022,Corn,6613,17.1,374,7.0,5.9,37.2,129,6.9,South
255,2018,Rice,7999,17.6,285,8.9,6.6,26.0,113,7.0,West
256,2018,Wheat,7399,23.1,289,11.9,6.3,42.2,119,6.3,South
257,2020,Rice,8285,24.6,308,8.0,6.4,37.1,136,4.9,West
258,2018,Wheat,8092,25.1,358,8.9,6.7,41.8,136,5.9,South
259,2019,Rice,4931,26.5,345,10.2,6.4,41.5,159,6.7,West
260,2019,Rice,6458,19.5,291,8.5,6.1,38.5,101,5.7,West
261,2021,Corn,7676,20.4,292,10.3,6.1,30.0,129,5.9,North
262,2023,Rice,5612,20.2,387,6.9,6.7,40.2,134,6.0,North
263,2024,Wheat,5100,18.9,381,7.4,6.6,30.9,103,6.2,North
264,2022,Rice,5355,20.2,370,8.3,6.5,31.2,97,6.1,West
265,2018,Wheat,6553,25.0,341,11.9,5.9,38.0,145,5.8,North
266,2018,Wheat,4657,21.8,288,8.1,6.0,43.0,123,5.4,West
267,2020,Rice,7950,27.0,404,11.5,6.5,33.4,108,5.4,West
268,2023,Corn,6877,24.0,298,11.2,6.1,35.8,135,5.3,North
269,2019,Rice,5626,19.8,369,10.5,6.5,28.7,150,6.4,North
270,2022,Rice,4722,23.1,366,8.2,6.5,38.1,158,5.7,South
271,2021,Corn,6949,24.7,297,8.0,6.4,30.5,118,4.8,West
272,2019,Wheat,6206,28.3,383,9.8,6.8,42.6,120,5.2,West
273,2023,Rice,5044,27.8,405,7.4,6.7,24.0,105,5.0,South
274,2024,Corn,7056,22.5,328,8.2,5.9,34.0,99,4.7,South
275,2021,Corn,8264,25.4,381,10.9,6.5,41.5,128,5.3,West
276,2024,Wheat,6731,20.9,353,7.3,6.6,30.2,150,4.6,South
277,2020,Corn,7462,25.2,364,11.0,6.7,34.2,133,5.4,West
278,2020,Wheat,7658,28.9,317,9.3,6.3,26.2,102,4.5,South
279,2018,Rice,7128,25.1,291,9.1,6.7,26.4,139,6.0,North
280,2024,Corn,7951,20.9,331,9.7,6.7,37.4,109,5.4,South
281,2023,Rice,5037,25.4,384,9.8,6.4,41.0,130,4.5,North
282,2022,Corn,5936,28.7,371,9.4,6.3,25.3,119,6.5,South
283,2021,Corn,8491,18.8,303,10.2,6.4,28.5,158,4.7,South
284,2019,Rice,7065,23.3,310,8.1,6.0,33.0,135,5.5,North
285,2023,Corn,7315,21.2,361,10.9,6.5,44.1,131,4.5,West
286,2023,Rice,8265,20.1,302,7.3,6.7,26.0,136,6.6,West
287,2020,Rice,6842,22.2,350,10.3,6.4,40.0,152,5.2,South
288,2024,Wheat,7562,22.1,351,8.3,6.5,36.8,112,6.3,North
289,2018,Rice,4759,19.7,397,10.2,6.3,32.8,148,5.0,West
290,2018,Wheat,7955,22.2,317,6.2,6.4,30.2,134,6.9,North
291,2021,Rice,5325,25.2,370,8.3,6.4,31.9,112,6.5,North
292,2020,Corn,7875,17.3,406,11.8,6.1,32.9,96,4.6,North
293,2023,Rice,4815,29.9,300,9.4,6.6,42.4,101,4.7,North
294,2022,Corn,5245,20.8,306,9.0,6.2,44.7,131,4.8,North
295,2020,Wheat,8365,25.1,335,7.5,5.9,44.1,132,5.8,West
296,2021,Corn,5218,20.7,404,8.9,6.3,27.1,104,6.9,South
297,2021,Rice,5600,22.1,385,10.9,5.9,24.6,159,6.0,North
298,2020,Corn,7227,24.1,300,8.0,6.6,28.5,156,5.1,North
299,2021,Wheat,7401,25.0,293,9.4,6.0,30.4,129,5.7,South
300,2020,Corn,7950,27.0,386,10.0,6.7,33.6,159,5.0,West
301,2019,Corn,4960,27.3,349,8.4,6.7,34.8,130,6.9,North
302,2020,Rice,7627,23.7,307,7.7,6.7,31.8,135,6.8,West
303,2024,Rice,7354,18.0,392,6.9,6.1,43.4,128,6.9,North
304,2020,Corn,5604,24.3,381,6.6,6.1,39.2,117,6.9,North
305,2021,Wheat,6202,23.2,346,7.4,6.2,38.6,112,4.8,North
306,2024,Corn,7747,19.8,403,6.1,6.7,36.1,159,6.9,West
307,2021,Wheat,7340,17.1,312,10.6,6.2,35.7,105,6.0,South
308,2018,Wheat,7477,21.1,291,6.7,6.4,33.1,114,5.2,North
309,2018,Wheat,5906,20.4,382,11.4,6.8,33.2,126,5.7,North
310,2024,Corn,6696,23.3,291,9.1,6.5,43.7,154,4.7,West
311,2019,Wheat,7315,26.9,298,8.7,6.6,36.3,145,5.2,North
312,2018,Corn,7852,22.7,374,6.4,6.3,32.7,121,6.1,North
313,2020,Wheat,6892,29.4,338,6.8,6.6,34.3,158,5.2,North
314,2021,Wheat,6313,19.9,396,11.1,6.6,43.5,117,5.3,South
315,2018,Corn,6314,19.9,292,10.0,6.5,31.3,157,6.2,West
316,2018,Rice,7980,24.9,298,6.6,6.8,44.9,99,5.3,South
317,2019,Rice,6241,28.7,292,10.1,5.9,32.1,126,4.6,South
318,2024,Corn,5473,25.7,363,6.8,6.6,40.6,153,6.0,North
319,2024,Corn,5421,25.8,323,10.4,6.0,25.4,136,6.7,South
320,2023,Rice,4529,27.5,355,11.7,6.4,32.6,153,6.6,West
321,2019,Rice,7277,25.7,388,10.6,6.6,27.1,103,5.4,North
322,2020,Rice,7993,26.9,360,10.9,6.4,30.1,158,4.9,North
323,2024,Corn,5481,28.3,400,9.7,6.1,32.5,159,4.8,South
324,2021,Wheat,4730,17.1,331,6.0,6.1,35.8,115,5.3,North
325,2019,Corn,7930,28.5,382,10.7,6.4,26.9,116,4.8,South
326,2018,Rice,5685,19.8,396,8.4,6.7,33.3,104,6.1,North
327,2021,Wheat,7276,28.9,369,11.2,6.5,43.6,137,6.9,West
328,2021,Corn,5751,20.5,362,9.4,6.2,34.7,101,4.7,North
329,2018,Rice,8416,22.9,292,7.1,6.7,25.4,103,5.4,South
330,2019,Corn,5744,29.1,399,6.3,6.1,28.1,150,7.0,North
331,2018,Wheat,7293,18.4,374,9.3,6.3,40.8,118,4.6,West
332,2023,Rice,5596,26.7,348,9.4,6.1,30.4,126,4.6,North
333,2021,Corn,4898,22.1,284,11.2,6.6,41.8,144,5.4,West
334,2022,Wheat,4594,17.3,350,6.2,6.0,30.3,141,5.4,North
335,2022,Wheat,6463,29.2,383,10.9,6.5,35.7,120,6.4,North
336,2020,Corn,4974,18.5,335,8.4,6.5,36.3,99,5.5,West
337,2024,Wheat,7666,27.1,330,9.2,6.7,37.7,147,5.4,South
338,2018,Rice,6429,22.0,335,9.2,6.2,39.6,129,6.0,West
339,2018,Wheat,6278,27.5,313,8.3,6.3,44.9,127,6.3,South
340,2020,Corn,8456,26.8,379,7.1,6.4,24.1,147,7.0,North
341,2020,Rice,8376,25.2,332,6.5,5.9,40.3,152,5.5,South
342,2020,Wheat,5274,29.2,282,7.2,6.3,40.8,101,5.6,South
343,2021,Wheat,5647,18.3,353,10.3,6.0,28.5,126,4.7,West
344,2023,Rice,7347,27.4,386,10.1,6.6,29.8,120,5.5,South
345,2018,Rice,6023,25.7,378,10.1,6.1,36.6,123,4.8,North
346,2021,Wheat,8350,21.1,316,11.4,6.2,28.4,112,6.0,North
347,2020,Rice,7491,24.1,324,8.7,6.1,36.7,132,6.1,North
348,2018,Corn,7570,25.4,282,10.6,6.1,27.8,122,6.7,North
349,2021,Wheat,5120,26.6,299,10.0,6.8,35.6,159,4.8,South
350,2023,Corn,7407,19.4,340,11.6,6.6,40.6,110,5.5,South
351,2021,Wheat,5463,18.3,353,10.0,6.2,44.5,101,5.7,South
352,2023,Corn,7619,18.3,336,7.1,6.6,33.3,146,6.1,North
353,2020,Corn,7360,20.8,349,10.5,6.5,31.6,96,6.9,South
354,2023,Rice,6642,19.0,390,8.1,6.2,40.8,113,4.6,South
355,2018,Wheat,6000,24.0,369,7.5,5.8,29.6,107,6.5,West
356,2020,Rice,6580,22.7,409,7.7,6.7,33.5,159,4.8,North
357,2018,Rice,7689,28.6,328,11.0,6.0,27.9,129,5.6,North
358,2022,Wheat,8215,26.3,373,8.7,6.5,40.4,123,5.3,North
